5000 1.001
4995 1.001
4970.05 1.00101
4925.42 1.00102
4861.6 1.00103
4779.3 1.00105
4679.46 1.00043
4563.21 1.00044
4431.83 1.00045
4286.79 1.00023
4209.62 1.00048
4047.05 1.00049
3874.9 1.00052
3694.91 1.00054
3508.88 1.00086
3125.63 1.00032
2931.82 1.00034
2738.68 1.00037
2547.68 1.00039
2360.19 1.00042
2177.41 1.00046
2000.44 1.0005
1830.19 1.00055
1667.43 1.0024
1512.78 1.00331
1366.72 1.0044
1164.41 1.00258
982.653 1.00204
872.897 1.00115
821.396 1.00244
725.013 1.00138
637.218 1.00157
520.862 1.00578
485.964 1.00206
421.667 1.00475
392.151 1.00511
338.078 1.0119
290.207 1.01388
248.04 1.01626
211.083 1.02883
178.855 1.01124
164.368 1.0061
138.366 1.02192
115.97 1.07142
88.2586 1.04636
80.4036 1.02519
66.509 1.12782
54.7739 1.09558
49.6252 1.02036
40.5993 1.18817
33.0684 1.06235
29.7946 1.03413
26.8152 1.34762
21.6479 1.38176
13.9212 1.43213
9.88033 1.35477
6.94187 2.37339
6.15744 1.38377
4.82811 1.23013
3.76869 2.21673
2.57702 2.17296
2.2652 3.75988
1.52793 1.92414
1.02009 18.9333
0.889517 9.47267
0.67405 85.6879
0.381741 2588.26
0.157151 580.156
