3507.9600 	 1766.3051 	  876.2400 	  456.4472 	  879.6600 	  454.7552
  24.0000 	   18.7361 	    7.2400 	    1.4773 	   78.3000 	   35.3374
  18.4400 	   15.3534 	    8.4800 	    3.0999 	  245.8200 	  325.4512
  21.4200 	   17.6410 	    8.6800 	    3.5578 	  101.6000 	  187.8869
  21.1600 	   18.0259 	    8.0800 	    2.9519 	   51.5000 	  111.8875
  21.2000 	   17.5613 	    8.4400 	    3.5730 	   80.3000 	  154.4413
  20.8600 	   17.4356 	    7.8000 	    3.1937 	   36.1200 	   85.0975
  21.0400 	   17.2950 	    8.3600 	    2.8196 	   63.3600 	  133.5997
  25.3200 	   16.3859 	    9.7600 	    3.3856 	  343.0000 	  276.2540
  21.1800 	   17.4627 	    8.2000 	    3.0265 	  104.0000 	  196.7853
  21.9600 	   17.5396 	    8.4800 	    3.0999 	  245.8200 	  325.4512
