3851.4600 	 1854.8815 	  971.1600 	  480.2924 	  978.1600 	  486.1136
  86.0000 	   34.1409 	   26.0000 	    2.7641 	  826.7000 	  265.0536
  40.2200 	   13.4049 	   29.8000 	    3.7041 	  854.4000 	  381.0905
  42.9800 	   13.8845 	   29.2400 	    3.4846 	  334.8800 	  299.6494
  43.2600 	   13.2948 	   28.3600 	    3.5143 	  121.5000 	  174.5686
  43.0000 	   14.0471 	   29.2400 	    3.6637 	  252.0400 	  272.5933
  44.1400 	   11.8474 	   28.2400 	    3.3738 	   71.9200 	   87.9847
  43.4000 	   12.0648 	   29.8400 	    3.7168 	  191.0000 	  176.7292
  43.5000 	   13.7190 	   29.6400 	    3.7243 	  772.6600 	  313.7116
  42.1200 	   13.3126 	   29.2800 	    3.5386 	  342.7800 	  288.3950
  43.5200 	   13.8683 	   29.8000 	    3.7041 	  854.4000 	  381.0905
