5000 1.0022
4995 1.00281
4970.05 1.00302
4925.42 1.00305
4861.6 1.00247
4779.3 1.00251
4679.46 1.00257
4563.21 1.00263
4431.83 1.00316
4286.79 1.00327
4129.64 1.0034
3962.06 1.00354
3785.77 1.0037
3602.54 1.00278
3414.14 1.00323
3222.3 1.00342
3028.74 1.00364
2835.07 1.00353
2642.82 1.00379
2453.42 1.00572
2268.14 1.00664
2088.14 1.00769
1914.42 1.00681
1747.83 1.00862
1589.06 1.00758
1438.66 1.00838
1297.02 1.01007
1164.41 1.00344
1040.95 1.00771
926.642 1.00216
821.396 1.00856
725.013 1.0195
637.218 1.03027
557.668 1.02911
485.964 1.0166
421.667 1.00475
364.308 1.00827
313.398 1.0032
290.207 1.02089
248.04 1.03695
211.083 1.00475
178.855 1.01124
164.368 1.04988
138.366 1.00725
115.97 1.02621
105.996 1.00948
96.7748 1.05302
80.4036 1.10462
66.509 1.01515
54.7739 1.22241
40.5993 1.0505
36.6612 1.24385
33.0684 1.06235
24.1068 1.23049
19.4182 1.50981
15.5718 1.06633
13.9212 1.07448
11.089 1.43436
7.81742 3.16222
6.94187 1.77929
6.15744 1.62778
4.82811 1.86146
3.32398 2.46584
2.92843 15.3612
2.2652 2.41796
1.98884 1.65335
1.74422 1.77415
1.52793 7.12377
1.33694 9.43031
1.02009 2.66527
0.67405 377.769
0.440809 902.952
0.134993 1648.79
0.0450885 4.28601e+09
